email_id,predicted_category,confidence_score,decision,top_driving_features
35,Other,0.71,AUTO_FORWARD,bool_features__is_internal_signature (0.76) | num_features__question_mark_count (0.15) | bool_features__is_department_greeting (0.14) | request (0.02) | account (0.02)
2,Investment Advisory,0.6676,AUTO_FORWARD,portfolio (0.13) | review (0.13) | num_features__question_mark_count (0.12) | bool_features__is_department_greeting (-0.10) | bool_features__is_internal_signature (0.07)
8,Loan Processing,0.7508,AUTO_FORWARD,loan (0.36) | application (0.20) | num_features__question_mark_count (0.15) | bool_features__is_department_greeting (0.05) | applying (0.04)
41,Account Management,0.7691,AUTO_FORWARD,account (0.45) | num_features__question_mark_count (0.12) | statement (0.07) | request (-0.07) | account (0.07)
44,Investment Advisory,0.8227,AUTO_FORWARD,investment (0.49) | bool_features__is_department_greeting (0.14) | num_features__question_mark_count (-0.12) | investment (0.08) | portfolio (0.07)
7,Investment Advisory,0.7395,AUTO_FORWARD,bool_features__is_department_greeting (0.14) | num_features__question_mark_count (0.12) | consultation (0.12) | bool_features__is_internal_signature (0.07) | account (0.05)
53,Account Management,0.794,AUTO_FORWARD,account (0.53) | request (0.27) | num_features__question_mark_count (-0.12) | account (0.11) | bool_features__is_department_greeting (-0.08)
9,Insurance Claims,0.8317,AUTO_FORWARD,insurance (0.46) | claim (0.46) | num_features__question_mark_count (0.19) | claim (0.06) | bool_features__is_internal_signature (0.06)
15,Other,0.7401,AUTO_FORWARD,bool_features__is_internal_signature (0.76) | num_features__question_mark_count (0.15) | bool_features__is_department_greeting (0.14) | request (0.02) | account (0.02)
16,Account Management,0.7274,AUTO_FORWARD,setup (0.23) | num_features__question_mark_count (0.12) | account (-0.10) | request (-0.07) | account (0.07)
18,Loan Processing,0.7292,AUTO_FORWARD,loan (0.36) | application (0.20) | num_features__question_mark_count (0.15) | bool_features__is_department_greeting (0.05) | loan (0.04)
48,Investment Advisory,0.6216,AUTO_FORWARD,market (0.29) | bool_features__is_department_greeting (0.14) | market (0.12) | num_features__question_mark_count (-0.12) | bool_features__is_internal_signature (0.07)
